Country,Sex,Year,BMI
Afghanistan,Both sexes,2023,5.5
Afghanistan,Male,2023,3.2
Afghanistan,Female,2023,7.6
Afghanistan,Both sexes,2022,5.2
Afghanistan,Male,2022,3
Afghanistan,Female,2022,7.3
Afghanistan,Both sexes,2021,4.9
Afghanistan,Male,2021,2.8
Afghanistan,Female,2021,7
Afghanistan,Both sexes,2020,4.7
Afghanistan,Male,2020,2.7
Afghanistan,Female,2020,6.6
Afghanistan,Both sexes,2019,4.4
Afghanistan,Male,2019,2.5
Afghanistan,Female,2019,6.3
Afghanistan,Both sexes,2018,4.2
Afghanistan,Male,2018,2.4
Afghanistan,Female,2018,6
Albania,Both sexes,2023,21.7
Albania,Male,2023,21.6
Albania,Female,2023,21.8
Albania,Both sexes,2022,21.1
Albania,Male,2022,20.9
Albania,Female,2022,21.3
Albania,Both sexes,2021,20.5
Albania,Male,2021,20.2
Albania,Female,2021,20.8
Albania,Both sexes,2020,19.9
Albania,Male,2020,19.5
Albania,Female,2020,20.4
Albania,Both sexes,2019,19.3
Albania,Male,2019,18.8
Albania,Female,2019,19.9
Albania,Both sexes,2018,18.8
Albania,Male,2018,18.1
Albania,Female,2018,19.4
Algeria,Both sexes,2023,27.4
Algeria,Male,2023,19.9
Algeria,Female,2023,34.9
Algeria,Both sexes,2022,26.7
Algeria,Male,2022,19.2
Algeria,Female,2022,34.2
Algeria,Both sexes,2021,26
Algeria,Male,2021,18.5
Algeria,Female,2021,33.6
Algeria,Both sexes,2020,25.3
Algeria,Male,2020,17.8
Algeria,Female,2020,32.9
Algeria,Both sexes,2019,24.7
Algeria,Male,2019,17.1
Algeria,Female,2019,32.2
Algeria,Both sexes,2018,24
Algeria,Male,2018,16.5
Algeria,Female,2018,31.5
Andorra,Both sexes,2023,25.6
Andorra,Male,2023,25.9
Andorra,Female,2023,25.3
Andorra,Both sexes,2022,25.4
Andorra,Male,2022,25.5
Andorra,Female,2022,25.2
Andorra,Both sexes,2021,25.2
Andorra,Male,2021,25.2
Andorra,Female,2021,25.1
Andorra,Both sexes,2020,25
Andorra,Male,2020,24.8
Andorra,Female,2020,25.1
Andorra,Both sexes,2019,24.8
Andorra,Male,2019,24.5
Andorra,Female,2019,25
Andorra,Both sexes,2018,24.6
Andorra,Male,2018,24.2
Andorra,Female,2018,24.9
Angola,Both sexes,2023,8.2
Angola,Male,2023,4
Angola,Female,2023,12.1
Angola,Both sexes,2022,7.9
Angola,Male,2022,3.8
Angola,Female,2022,11.6
Angola,Both sexes,2021,7.5
Angola,Male,2021,3.6
Angola,Female,2021,11.1
Angola,Both sexes,2020,7.1
Angola,Male,2020,3.3
Angola,Female,2020,10.6
Angola,Both sexes,2019,6.8
Angola,Male,2019,3.1
Angola,Female,2019,10.2
Angola,Both sexes,2018,6.5
Angola,Male,2018,2.9
Angola,Female,2018,9.7
Antigua and Barbuda,Both sexes,2023,18.9
Antigua and Barbuda,Male,2023,11.6
Antigua and Barbuda,Female,2023,25.9
Antigua and Barbuda,Both sexes,2022,18.4
Antigua and Barbuda,Male,2022,11.2
Antigua and Barbuda,Female,2022,25.3
Antigua and Barbuda,Both sexes,2021,18
Antigua and Barbuda,Male,2021,10.8
Antigua and Barbuda,Female,2021,24.8
Antigua and Barbuda,Both sexes,2020,17.5
Antigua and Barbuda,Male,2020,10.5
Antigua and Barbuda,Female,2020,24.2
Antigua and Barbuda,Both sexes,2019,17.1
Antigua and Barbuda,Male,2019,10.1
Antigua and Barbuda,Female,2019,23.7
Antigua and Barbuda,Both sexes,2018,16.7
Antigua and Barbuda,Male,2018,9.8
Antigua and Barbuda,Female,2018,23.2
Argentina,Both sexes,2023,28.3
Argentina,Male,2023,27.3
Argentina,Female,2023,29
Argentina,Both sexes,2022,27.8
Argentina,Male,2022,26.8
Argentina,Female,2022,28.5
Argentina,Both sexes,2021,27.3
Argentina,Male,2021,26.2
Argentina,Female,2021,28.1
Argentina,Both sexes,2020,26.8
Argentina,Male,2020,25.7
Argentina,Female,2020,27.6
Argentina,Both sexes,2019,26.3
Argentina,Male,2019,25.1
Argentina,Female,2019,27.2
Argentina,Both sexes,2018,25.8
Argentina,Male,2018,24.6
Argentina,Female,2018,26.7
Armenia,Both sexes,2023,20.2
Armenia,Male,2023,17.1
Armenia,Female,2023,23
Armenia,Both sexes,2022,19.7
Armenia,Male,2022,16.6
Armenia,Female,2022,22.6
Armenia,Both sexes,2021,19.2
Armenia,Male,2021,16.1
Armenia,Female,2021,22.1
Armenia,Both sexes,2020,18.8
Armenia,Male,2020,15.7
Armenia,Female,2020,21.7
Armenia,Both sexes,2019,18.3
Armenia,Male,2019,15.2
Armenia,Female,2019,21.2
Armenia,Both sexes,2018,17.9
Armenia,Male,2018,14.8
Armenia,Female,2018,20.8
Australia,Both sexes,2023,29
Australia,Male,2023,29.6
Australia,Female,2023,28.4
Australia,Both sexes,2022,28.4
Australia,Male,2022,28.9
Australia,Female,2022,27.9
Australia,Both sexes,2021,27.9
Australia,Male,2021,28.3
Australia,Female,2021,27.4
Australia,Both sexes,2020,27.3
Australia,Male,2020,27.7
Australia,Female,2020,26.9
Australia,Both sexes,2019,26.7
Australia,Male,2019,27
Australia,Female,2019,26.4
Australia,Both sexes,2018,26.2
Australia,Male,2018,26.4
Australia,Female,2018,25.9
Austria,Both sexes,2023,20.1
Austria,Male,2023,21.9
Austria,Female,2023,18.3
Austria,Both sexes,2022,19.7
Austria,Male,2022,21.3
Austria,Female,2022,18
Austria,Both sexes,2021,19.2
Austria,Male,2021,20.8
Austria,Female,2021,17.7
Austria,Both sexes,2020,18.8
Austria,Male,2020,20.3
Austria,Female,2020,17.3
Austria,Both sexes,2019,18.4
Austria,Male,2019,19.8
Austria,Female,2019,17
Austria,Both sexes,2018,18
Austria,Male,2018,19.3
Austria,Female,2018,16.7
Azerbaijan,Both sexes,2023,19.9
Azerbaijan,Male,2023,15.8
Azerbaijan,Female,2023,23.6
Azerbaijan,Both sexes,2022,19.3
Azerbaijan,Male,2022,15.3
Azerbaijan,Female,2022,23
Azerbaijan,Both sexes,2021,18.8
Azerbaijan,Male,2021,14.7
Azerbaijan,Female,2021,22.4
Azerbaijan,Both sexes,2020,18.2
Azerbaijan,Male,2020,14.2
Azerbaijan,Female,2020,21.8
Azerbaijan,Both sexes,2019,17.7
Azerbaijan,Male,2019,13.7
Azerbaijan,Female,2019,21.2
Azerbaijan,Both sexes,2018,17.2
Azerbaijan,Male,2018,13.2
Azerbaijan,Female,2018,20.7
Bahamas,Both sexes,2023,31.6
Bahamas,Male,2023,24.4
Bahamas,Female,2023,38.1
Bahamas,Both sexes,2022,31
Bahamas,Male,2022,23.8
Bahamas,Female,2022,37.6
Bahamas,Both sexes,2021,30.5
Bahamas,Male,2021,23.2
Bahamas,Female,2021,37.2
Bahamas,Both sexes,2020,30
Bahamas,Male,2020,22.6
Bahamas,Female,2020,36.7
Bahamas,Both sexes,2019,29.5
Bahamas,Male,2019,22.1
Bahamas,Female,2019,36.3
Bahamas,Both sexes,2018,29
Bahamas,Male,2018,21.5
Bahamas,Female,2018,35.8
Bahrain,Both sexes,2023,29.8
Bahrain,Male,2023,25.5
Bahrain,Female,2023,36.8
Bahrain,Both sexes,2022,29.3
Bahrain,Male,2022,24.9
Bahrain,Female,2022,36.4
Bahrain,Both sexes,2021,28.8
Bahrain,Male,2021,24.4
Bahrain,Female,2021,36
Bahrain,Both sexes,2020,28.2
Bahrain,Male,2020,23.8
Bahrain,Female,2020,35.6
Bahrain,Both sexes,2019,27.6
Bahrain,Male,2019,23.2
Bahrain,Female,2019,35.1
Bahrain,Both sexes,2018,27.1
Bahrain,Male,2018,22.7
Bahrain,Female,2018,34.7
Bangladesh,Both sexes,2023,3.6
Bangladesh,Male,2023,2.3
Bangladesh,Female,2023,5
Bangladesh,Both sexes,2022,3.4
Bangladesh,Male,2022,2.1
Bangladesh,Female,2022,4.7
Bangladesh,Both sexes,2021,3.2
Bangladesh,Male,2021,2
Bangladesh,Female,2021,4.4
Bangladesh,Both sexes,2020,3
Bangladesh,Male,2020,1.8
Bangladesh,Female,2020,4.2
Bangladesh,Both sexes,2019,2.8
Bangladesh,Male,2019,1.7
Bangladesh,Female,2019,4
Bangladesh,Both sexes,2018,2.6
Bangladesh,Male,2018,1.6
Bangladesh,Female,2018,3.8
Barbados,Both sexes,2023,23.1
Barbados,Male,2023,14.7
Barbados,Female,2023,31.3
Barbados,Both sexes,2022,22.5
Barbados,Male,2022,14.2
Barbados,Female,2022,30.7
Barbados,Both sexes,2021,22
Barbados,Male,2021,13.7
Barbados,Female,2021,30
Barbados,Both sexes,2020,21.4
Barbados,Male,2020,13.2
Barbados,Female,2020,29.4
Barbados,Both sexes,2019,20.9
Barbados,Male,2019,12.7
Barbados,Female,2019,28.8
Barbados,Both sexes,2018,20.4
Barbados,Male,2018,12.3
Barbados,Female,2018,28.2
Belarus,Both sexes,2023,24.5
Belarus,Male,2023,22.1
Belarus,Female,2023,26.3
Belarus,Both sexes,2022,24.1
Belarus,Male,2022,21.6
Belarus,Female,2022,26
Belarus,Both sexes,2021,23.7
Belarus,Male,2021,21.1
Belarus,Female,2021,25.8
Belarus,Both sexes,2020,23.4
Belarus,Male,2020,20.6
Belarus,Female,2020,25.6
Belarus,Both sexes,2019,23
Belarus,Male,2019,20.1
Belarus,Female,2019,25.3
Belarus,Both sexes,2018,22.7
Belarus,Male,2018,19.6
Belarus,Female,2018,25.1
Belgium,Both sexes,2023,22.1
Belgium,Male,2023,23.1
Belgium,Female,2023,21
Belgium,Both sexes,2022,21.7
Belgium,Male,2022,22.6
Belgium,Female,2022,20.7
Belgium,Both sexes,2021,21.4
Belgium,Male,2021,22.2
Belgium,Female,2021,20.5
Belgium,Both sexes,2020,21
Belgium,Male,2020,21.7
Belgium,Female,2020,20.3
Belgium,Both sexes,2019,20.7
Belgium,Male,2019,21.3
Belgium,Female,2019,20.1
Belgium,Both sexes,2018,20.4
Belgium,Male,2018,20.8
Belgium,Female,2018,19.9
Belize,Both sexes,2023,24.1
Belize,Male,2023,16.5
Belize,Female,2023,31.5
Belize,Both sexes,2022,23.6
Belize,Male,2022,16
Belize,Female,2022,30.9
Belize,Both sexes,2021,23
Belize,Male,2021,15.5
Belize,Female,2021,30.3
Belize,Both sexes,2020,22.5
Belize,Male,2020,15
Belize,Female,2020,29.8
Belize,Both sexes,2019,22
Belize,Male,2019,14.5
Belize,Female,2019,29.2
Belize,Both sexes,2018,21.5
Belize,Male,2018,14
Belize,Female,2018,28.7
Benin,Both sexes,2023,9.6
Benin,Male,2023,4.7
Benin,Female,2023,14.2
Benin,Both sexes,2022,9.3
Benin,Male,2022,4.5
Benin,Female,2022,13.7
Benin,Both sexes,2021,8.9
Benin,Male,2021,4.2
Benin,Female,2021,13.2
Benin,Both sexes,2020,8.6
Benin,Male,2020,4
Benin,Female,2020,12.7
Benin,Both sexes,2019,8.2
Benin,Male,2019,3.8
Benin,Female,2019,12.3
Benin,Both sexes,2018,7.9
Benin,Male,2018,3.6
Benin,Female,2018,11.8
Bhutan,Both sexes,2023,6.4
Bhutan,Male,2023,4.7
Bhutan,Female,2023,8.5
Bhutan,Both sexes,2022,6.1
Bhutan,Male,2022,4.4
Bhutan,Female,2022,8.1
Bhutan,Both sexes,2021,5.7
Bhutan,Male,2021,4.2
Bhutan,Female,2021,7.8
Bhutan,Both sexes,2020,5.5
Bhutan,Male,2020,3.9
Bhutan,Female,2020,7.4
Bhutan,Both sexes,2019,5.2
Bhutan,Male,2019,3.7
Bhutan,Female,2019,7.1
Bhutan,Both sexes,2018,4.9
Bhutan,Male,2018,3.5
Bhutan,Female,2018,6.7
Bolivia (Plurinational State of),Both sexes,2023,20.2
Bolivia (Plurinational State of),Male,2023,14.5
Bolivia (Plurinational State of),Female,2023,25.6
Bolivia (Plurinational State of),Both sexes,2022,19.7
Bolivia (Plurinational State of),Male,2022,14
Bolivia (Plurinational State of),Female,2022,25
Bolivia (Plurinational State of),Both sexes,2021,19.3
Bolivia (Plurinational State of),Male,2021,13.6
Bolivia (Plurinational State of),Female,2021,24.5
Bolivia (Plurinational State of),Both sexes,2020,18.8
Bolivia (Plurinational State of),Male,2020,13.1
Bolivia (Plurinational State of),Female,2020,24
Bolivia (Plurinational State of),Both sexes,2019,18.3
Bolivia (Plurinational State of),Male,2019,12.7
Bolivia (Plurinational State of),Female,2019,23.5
Bolivia (Plurinational State of),Both sexes,2018,17.9
Bolivia (Plurinational State of),Male,2018,12.3
Bolivia (Plurinational State of),Female,2018,23
Bosnia and Herzegovina,Both sexes,2023,17.9
Bosnia and Herzegovina,Male,2023,17.1
Bosnia and Herzegovina,Female,2023,18.4
Bosnia and Herzegovina,Both sexes,2022,17.5
Bosnia and Herzegovina,Male,2022,16.7
Bosnia and Herzegovina,Female,2022,18.1
Bosnia and Herzegovina,Both sexes,2021,17.1
Bosnia and Herzegovina,Male,2021,16.2
Bosnia and Herzegovina,Female,2021,17.8
Bosnia and Herzegovina,Both sexes,2020,16.7
Bosnia and Herzegovina,Male,2020,15.8
Bosnia and Herzegovina,Female,2020,17.4
Bosnia and Herzegovina,Both sexes,2019,16.3
Bosnia and Herzegovina,Male,2019,15.3
Bosnia and Herzegovina,Female,2019,17.1
Bosnia and Herzegovina,Both sexes,2018,16
Bosnia and Herzegovina,Male,2018,14.9
Bosnia and Herzegovina,Female,2018,16.8
Botswana,Both sexes,2023,18.9
Botswana,Male,2023,8.1
Botswana,Female,2023,29.3
Botswana,Both sexes,2022,18.6
Botswana,Male,2022,7.8
Botswana,Female,2022,28.9
Botswana,Both sexes,2021,18.2
Botswana,Male,2021,7.5
Botswana,Female,2021,28.4
Botswana,Both sexes,2020,17.9
Botswana,Male,2020,7.2
Botswana,Female,2020,27.9
Botswana,Both sexes,2019,17.5
Botswana,Male,2019,6.9
Botswana,Female,2019,27.5
Botswana,Both sexes,2018,17.2
Botswana,Male,2018,6.6
Botswana,Female,2018,27
Brazil,Both sexes,2023,22.1
Brazil,Male,2023,18.5
Brazil,Female,2023,25.4
Brazil,Both sexes,2022,21.6
Brazil,Male,2022,18
Brazil,Female,2022,24.9
Brazil,Both sexes,2021,21.1
Brazil,Male,2021,17.5
Brazil,Female,2021,24.4
Brazil,Both sexes,2020,20.6
Brazil,Male,2020,17
Brazil,Female,2020,23.9
Brazil,Both sexes,2019,20.1
Brazil,Male,2019,16.5
Brazil,Female,2019,23.4
Brazil,Both sexes,2018,19.6
Brazil,Male,2018,16
Brazil,Female,2018,22.9
Brunei Darussalam,Both sexes,2023,14.1
Brunei Darussalam,Male,2023,12.5
Brunei Darussalam,Female,2023,15.7
Brunei Darussalam,Both sexes,2022,13.6
Brunei Darussalam,Male,2022,11.9
Brunei Darussalam,Female,2022,15.3
Brunei Darussalam,Both sexes,2021,13.1
Brunei Darussalam,Male,2021,11.3
Brunei Darussalam,Female,2021,14.8
Brunei Darussalam,Both sexes,2020,12.6
Brunei Darussalam,Male,2020,10.8
Brunei Darussalam,Female,2020,14.3
Brunei Darussalam,Both sexes,2019,12.1
Brunei Darussalam,Male,2019,10.3
Brunei Darussalam,Female,2019,13.9
Brunei Darussalam,Both sexes,2018,11.6
Brunei Darussalam,Male,2018,9.8
Brunei Darussalam,Female,2018,13.4
Bulgaria,Both sexes,2023,25
Bulgaria,Male,2023,25.5
Bulgaria,Female,2023,24.3
Bulgaria,Both sexes,2022,24.5
Bulgaria,Male,2022,24.9
Bulgaria,Female,2022,24
Bulgaria,Both sexes,2021,24.1
Bulgaria,Male,2021,24.4
Bulgaria,Female,2021,23.7
Bulgaria,Both sexes,2020,23.7
Bulgaria,Male,2020,23.8
Bulgaria,Female,2020,23.4
Bulgaria,Both sexes,2019,23.2
Bulgaria,Male,2019,23.2
Bulgaria,Female,2019,23.1
Bulgaria,Both sexes,2018,22.8
Bulgaria,Male,2018,22.7
Bulgaria,Female,2018,22.8
Burkina Faso,Both sexes,2023,5.6
Burkina Faso,Male,2023,2.6
Burkina Faso,Female,2023,8.1
Burkina Faso,Both sexes,2022,5.3
Burkina Faso,Male,2022,2.4
Burkina Faso,Female,2022,7.7
Burkina Faso,Both sexes,2021,5
Burkina Faso,Male,2021,2.2
Burkina Faso,Female,2021,7.3
Burkina Faso,Both sexes,2020,4.7
Burkina Faso,Male,2020,2.1
Burkina Faso,Female,2020,6.9
Burkina Faso,Both sexes,2019,4.5
Burkina Faso,Male,2019,2
Burkina Faso,Female,2019,6.5
Burkina Faso,Both sexes,2018,4.2
Burkina Faso,Male,2018,1.8
Burkina Faso,Female,2018,6.1
Burundi,Both sexes,2023,5.4
Burundi,Male,2023,2.1
Burundi,Female,2023,8.6
Burundi,Both sexes,2022,5.1
Burundi,Male,2022,2
Burundi,Female,2022,8.2
Burundi,Both sexes,2021,4.9
Burundi,Male,2021,1.9
Burundi,Female,2021,7.8
Burundi,Both sexes,2020,4.6
Burundi,Male,2020,1.8
Burundi,Female,2020,7.4
Burundi,Both sexes,2019,4.4
Burundi,Male,2019,1.7
Burundi,Female,2019,7.1
Burundi,Both sexes,2018,4.2
Burundi,Male,2018,1.6
Burundi,Female,2018,6.7
Cabo Verde,Both sexes,2023,11.8
Cabo Verde,Male,2023,6.9
Cabo Verde,Female,2023,16.3
Cabo Verde,Both sexes,2022,11.4
Cabo Verde,Male,2022,6.6
Cabo Verde,Female,2022,15.8
Cabo Verde,Both sexes,2021,11
Cabo Verde,Male,2021,6.2
Cabo Verde,Female,2021,15.3
Cabo Verde,Both sexes,2020,10.7
Cabo Verde,Male,2020,5.9
Cabo Verde,Female,2020,14.8
Cabo Verde,Both sexes,2019,10.3
Cabo Verde,Male,2019,5.6
Cabo Verde,Female,2019,14.4
Cabo Verde,Both sexes,2018,9.9
Cabo Verde,Male,2018,5.4
Cabo Verde,Female,2018,13.9
Cambodia,Both sexes,2023,3.9
Cambodia,Male,2023,2.7
Cambodia,Female,2023,4.8
Cambodia,Both sexes,2022,3.7
Cambodia,Male,2022,2.5
Cambodia,Female,2022,4.6
Cambodia,Both sexes,2021,3.5
Cambodia,Male,2021,2.4
Cambodia,Female,2021,4.3
Cambodia,Both sexes,2020,3.3
Cambodia,Male,2020,2.2
Cambodia,Female,2020,4.1
Cambodia,Both sexes,2019,3.1
Cambodia,Male,2019,2.1
Cambodia,Female,2019,3.9
Cambodia,Both sexes,2018,2.9
Cambodia,Male,2018,1.9
Cambodia,Female,2018,3.7
Cameroon,Both sexes,2023,11.4
Cameroon,Male,2023,6.1
Cameroon,Female,2023,16.4
Cameroon,Both sexes,2022,11
Cameroon,Male,2022,5.8
Cameroon,Female,2022,15.9
Cameroon,Both sexes,2021,10.6
Cameroon,Male,2021,5.5
Cameroon,Female,2021,15.4
Cameroon,Both sexes,2020,10.2
Cameroon,Male,2020,5.3
Cameroon,Female,2020,14.9
Cameroon,Both sexes,2019,9.8
Cameroon,Male,2019,5
Cameroon,Female,2019,14.4
Cameroon,Both sexes,2018,9.4
Cameroon,Male,2018,4.8
Cameroon,Female,2018,13.9
Canada,Both sexes,2023,29.4
Canada,Male,2023,29.5
Canada,Female,2023,29.3
Canada,Both sexes,2022,28.8
Canada,Male,2022,28.8
Canada,Female,2022,28.8
Canada,Both sexes,2021,28.3
Canada,Male,2021,28.2
Canada,Female,2021,28.3
Canada,Both sexes,2020,27.7
Canada,Male,2020,27.6
Canada,Female,2020,27.7
Canada,Both sexes,2019,27.1
Canada,Male,2019,27
Canada,Female,2019,27.2
Canada,Both sexes,2018,26.6
Canada,Male,2018,26.4
Canada,Female,2018,26.7
Central African Republic,Both sexes,2023,7.5
Central African Republic,Male,2023,3.7
Central African Republic,Female,2023,10.9
Central African Republic,Both sexes,2022,7.2
Central African Republic,Male,2022,3.5
Central African Republic,Female,2022,10.5
Central African Republic,Both sexes,2021,6.9
Central African Republic,Male,2021,3.3
Central African Republic,Female,2021,10.1
Central African Republic,Both sexes,2020,6.6
Central African Republic,Male,2020,3.2
Central African Republic,Female,2020,9.7
Central African Republic,Both sexes,2019,6.4
Central African Republic,Male,2019,3
Central African Republic,Female,2019,9.4
Central African Republic,Both sexes,2018,6.1
Central African Republic,Male,2018,2.9
Central African Republic,Female,2018,9
Chad,Both sexes,2023,6.1
Chad,Male,2023,3.1
Chad,Female,2023,8.9
Chad,Both sexes,2022,5.8
Chad,Male,2022,2.9
Chad,Female,2022,8.5
Chad,Both sexes,2021,5.6
Chad,Male,2021,2.8
Chad,Female,2021,8.2
Chad,Both sexes,2020,5.3
Chad,Male,2020,2.6
Chad,Female,2020,7.9
Chad,Both sexes,2019,5.1
