SpatialDimValueCode,Location,country,Obesity_Rate,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
KGZ,Kyrgyzstan,Kyrgyzstan,16.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.11,NA,NA,6.71,NA,14.94,10.11 [6.71 – 14.94],NA,NA,EN,2018-09-13T07:00:00Z
PNG,Papua New Guinea,Papua New Guinea,21.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13,NA,NA,6.62,NA,15.19,10.13 [6.62 – 15.19],NA,NA,EN,2018-09-13T07:00:00Z
ETH,Ethiopia,Ethiopia,4.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.22,NA,NA,8.58,NA,11.87,10.22 [8.58 – 11.87],NA,NA,EN,2018-09-13T07:00:00Z
FJI,Fiji,Fiji,30.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,NA,NA,7.27,NA,14.45,10.32 [7.27 – 14.45],NA,NA,EN,2018-09-13T07:00:00Z
MMR,Myanmar,Myanmar,5.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37,NA,NA,7.26,NA,14.58,10.37 [7.26 – 14.58],NA,NA,EN,2018-09-13T07:00:00Z
LAO,Lao People's Democratic Republic,Laos,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,NA,NA,9.03,NA,11.92,10.47 [9.03 – 11.92],NA,NA,EN,2018-09-13T07:00:00Z
KHM,Cambodia,Cambodia,3.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64,NA,NA,6.86,NA,16.12,10.64 [6.86 – 16.12],NA,NA,EN,2018-09-13T07:00:00Z
NPL,Nepal,Nepal,4.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.21,NA,NA,8.74,NA,13.67,11.21 [8.74 – 13.67],NA,NA,EN,2018-09-13T07:00:00Z
JOR,Jordan,Jordan,35.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.26,NA,NA,7.98,NA,15.64,11.26 [7.98 – 15.64],NA,NA,EN,2018-09-13T07:00:00Z
MDA,Republic of Moldova,Moldova,18.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,7.95,NA,16.09,11.4 [7.95 – 16.09],NA,NA,EN,2018-09-13T07:00:00Z
